ESID,Data Collector Affiliations,Latitude,Longitude,Local Eclipse Type,Eclipse Percent (%),WAV Files Time & Date Settings,Data Collector Start Time Notes,Eclipse Date,Eclipse Start Time (UTC) (1st Contact),Totality Start Time (UTC) (2nd Contact),Eclipse Maximum (UTC),Totality End Time (UTC) (3rd Contact),Eclipse End Time (UTC) (4th Contact),Version,Keywords and subjects,year
407,Ohio State University,40.74097,-84.01915,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:54:55,19:09:50,19:11:46,19:13:42,20:26:03,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
408,,40.90814,-83.90913,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:55:17,19:10:11,19:12:03,19:13:56,20:26:14,2024.1.0,2024 Total Solar Eclipse ,2024
414,,41.1929515,-81.3600868,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:59:25,19:14:20,19:15:49,19:17:18,20:29:11,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
416,Friends Central School,44.50552,-72.86493,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:14:39,19:26:31,19:28:04,19:29:36,20:37:32,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
418,Blasco Memorial Library,42.139118,-80.087658,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:02:20,19:16:16,19:18:08,19:19:59,20:30:44,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
419,South Butler Community Library,40.7512005,-79.8129517,Partial,98.09,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:01:19,N/A,19:17:41,N/A,20:30:43,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
426,,31.69629,-97.14195,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:20:41,18:38:06,18:40:16,18:42:26,20:00:47,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
430,,32.6933,-97.43444,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:22:08,18:40:12,18:41:22,18:42:31,20:01:28,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
431,,32.29904,-96.94812,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:22:06,18:39:24,18:41:33,18:43:42,20:01:48,2024.1.0,2024 Total Solar Eclipse ,2024
432,,33.087019,-96.7783653,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:23:48,18:41:33,18:43:03,18:44:33,20:02:57,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
433,,30.04582,-95.58545,Partial,95.42,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:20:04,N/A,18:40:12,N/A,20:01:07,2024.0.0,2024 Total Solar Eclipse ,2024
435,,30.465684,-97.639366,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:17:39,18:36:11,18:37:26,18:38:41,19:58:26,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
437,,29.4637,-98.4715,Partial,99.98,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:14:31,N/A,18:34:20,N/A,19:55:44,2024.0.0,2024 Total Solar Eclipse ,2024
439,,32.6841,-95.5414,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:24:52,18:42:31,18:44:27,18:46:24,20:04:27,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
440,,33.564213,-96.902179,Partial,99.71,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:24:32,0:00:00,18:43:34,0:00:00,20:03:15,2024.0.0,2024 Total Solar Eclipse ,2024
